	mutant	strain	phenotype	date	scope	videoname	img_folder	processed	error
348	ABC	MXAN_4622	LWT			ABC Transporters--MXAN_4622--test	/mnt/SeagateBackup_USB/Mutant_Movies/ABC Transporters/MXAN_4622/test	False	0
349	ABC	MXAN_4665	Pulsatile	04.04.12	mic2	ABC Transporters--MXAN_4665--MXAN_4665-mic2-4.4.12	/mnt/SeagateBackup_USB/Mutant_Movies/ABC Transporters/MXAN_4665/MXAN_4665-mic2-4.4.12	False	0
350	ABC	MXAN_4665	Pulsatile	04.04.12	mic4	ABC Transporters--MXAN_4665--MXAN_4665-mic4-4.4.12	/mnt/SeagateBackup_USB/Mutant_Movies/ABC Transporters/MXAN_4665/MXAN_4665-mic4-4.4.12	False	0
351	ABC	MXAN_4665	Pulsatile	04.04.12	mic5	ABC Transporters--MXAN_4665--MXAN_4665-mic5-4.4.12	/mnt/SeagateBackup_USB/Mutant_Movies/ABC Transporters/MXAN_4665/MXAN_4665-mic5-4.4.12	False	0
352	ABC	MXAN_4665	Pulsatile			ABC Transporters--MXAN_4665--test	/mnt/SeagateBackup_USB/Mutant_Movies/ABC Transporters/MXAN_4665/test	False	0
353	ABC	MXAN_4716	Fall apart	04.04.12	mic6	ABC Transporters--MXAN_4716--MXAN_4716-mic6-4.4.12	/mnt/SeagateBackup_USB/Mutant_Movies/ABC Transporters/MXAN_4716/MXAN_4716-mic6-4.4.12	False	0
354	ABC	MXAN_4716	Fall apart	04.04.12	mic7	ABC Transporters--MXAN_4716--MXAN_4716-mic7-4.4.12	/mnt/SeagateBackup_USB/Mutant_Movies/ABC Transporters/MXAN_4716/MXAN_4716-mic7-4.4.12	False	0
355	ABC	MXAN_4716	Fall apart	04.04.12	mic8	ABC Transporters--MXAN_4716--MXAN_4716-mic8-4.4.12	/mnt/SeagateBackup_USB/Mutant_Movies/ABC Transporters/MXAN_4716/MXAN_4716-mic8-4.4.12	False	0
356	ABC	MXAN_4716	Fall apart			ABC Transporters--MXAN_4716--test	/mnt/SeagateBackup_USB/Mutant_Movies/ABC Transporters/MXAN_4716/test	False	0
357	ABC	MXAN_4749	Late normal	12.06.12	mic5	ABC Transporters--MXAN_4749--MXAN_4749-mic5-12.6.12	/mnt/SeagateBackup_USB/Mutant_Movies/ABC Transporters/MXAN_4749/MXAN_4749-mic5-12.6.12	False	0
358	ABC	MXAN_4749	Late normal	12.06.12	mic6	ABC Transporters--MXAN_4749--MXAN_4749-mic6-12.6.12	/mnt/SeagateBackup_USB/Mutant_Movies/ABC Transporters/MXAN_4749/MXAN_4749-mic6-12.6.12	False	0
359	ABC	MXAN_4749	Late normal	12.06.12	mic7	ABC Transporters--MXAN_4749--MXAN_4749-mic7-12.6.12	/mnt/SeagateBackup_USB/Mutant_Movies/ABC Transporters/MXAN_4749/MXAN_4749-mic7-12.6.12	False	0
360	ABC	MXAN_4749	Late normal			ABC Transporters--MXAN_4749--test	/mnt/SeagateBackup_USB/Mutant_Movies/ABC Transporters/MXAN_4749/test	False	0
361	ABC	MXAN_4750	LWT	12.04.12	mic5	ABC Transporters--MXAN_4750--MXAN_4750-mic5-12.4.12	/mnt/SeagateBackup_USB/Mutant_Movies/ABC Transporters/MXAN_4750/MXAN_4750-mic5-12.4.12	False	0
362	ABC	MXAN_4750	LWT	12.04.12	mic6	ABC Transporters--MXAN_4750--MXAN_4750-mic6-12.4.12	/mnt/SeagateBackup_USB/Mutant_Movies/ABC Transporters/MXAN_4750/MXAN_4750-mic6-12.4.12	False	0
363	ABC	MXAN_4750	LWT	12.04.12	mic7	ABC Transporters--MXAN_4750--MXAN_4750-mic7-12.4.12	/mnt/SeagateBackup_USB/Mutant_Movies/ABC Transporters/MXAN_4750/MXAN_4750-mic7-12.4.12	False	0
364	ABC	MXAN_4750	LWT			ABC Transporters--MXAN_4750--test	/mnt/SeagateBackup_USB/Mutant_Movies/ABC Transporters/MXAN_4750/test	False	0
365	ABC	MXAN_4790	Variable	04.06.12	mic6	ABC Transporters--MXAN_4790--MXAN_4790-mic6-4.6.12	/mnt/SeagateBackup_USB/Mutant_Movies/ABC Transporters/MXAN_4790/MXAN_4790-mic6-4.6.12	False	0
366	ABC	MXAN_4790	Variable	04.06.12	mic8	ABC Transporters--MXAN_4790--MXAN_4790-mic8-4.6.12	/mnt/SeagateBackup_USB/Mutant_Movies/ABC Transporters/MXAN_4790/MXAN_4790-mic8-4.6.12	False	0
367	ABC	MXAN_4790	Variable			ABC Transporters--MXAN_4790--test	/mnt/SeagateBackup_USB/Mutant_Movies/ABC Transporters/MXAN_4790/test	False	0
368	ABC	MXAN_4818				ABC Transporters--MXAN_4818--test	/mnt/SeagateBackup_USB/Mutant_Movies/ABC Transporters/MXAN_4818/test	False	4
369	ABC	MXAN_5276	LWT	12.14.12	mic4	ABC Transporters--MXAN_5276--MXAN_5276-mic4-12.14.12	/mnt/SeagateBackup_USB/Mutant_Movies/ABC Transporters/MXAN_5276/MXAN_5276-mic4-12.14.12	False	0
370	ABC	MXAN_5276	LWT	12.14.12	mic5	ABC Transporters--MXAN_5276--MXAN_5276-mic5-12.14.12	/mnt/SeagateBackup_USB/Mutant_Movies/ABC Transporters/MXAN_5276/MXAN_5276-mic5-12.14.12	False	0
371	ABC	MXAN_5276	LWT	12.14.12	mic7	ABC Transporters--MXAN_5276--MXAN_5276-mic7-12.14.12	/mnt/SeagateBackup_USB/Mutant_Movies/ABC Transporters/MXAN_5276/MXAN_5276-mic7-12.14.12	False	0
372	ABC	MXAN_5276	LWT			ABC Transporters--MXAN_5276--test	/mnt/SeagateBackup_USB/Mutant_Movies/ABC Transporters/MXAN_5276/test	False	0
